candidate_id,candidate_label,source_phase,symbol,shock_side,shock_level,direction,vol_regime_filter,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,entry_timestamp,exit_timestamp,signal_return_pct,vol_regime,vol20_pct,signal_close,entry_open,exit_close,forward_low,forward_high,entry_gap_pct,close_to_close_return_pct,next_open_return_pct,mae_pct,mfe_pct
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-08-11 12:00,2020-08-11 16:00,2020-08-13 12:00,-2.2452667336,,,11480.7900000000,11480.7800000000,11499.7800000000,11125.0000000000,11656.9900000000,-0.0000871021,0.1652700897,0.1653571917,-3.1479504782,1.5231667249
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-08-18 12:00,2020-08-18 16:00,2020-08-20 12:00,-1.9583415028,Q4_higher,1.2037816734,11934.4100000000,11934.4100000000,11854.3500000000,11561.0000000000,12087.0000000000,0.0000000000,-0.6730935304,-0.6730935304,-3.1788459439,1.2704670745
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-02 08:00,2020-09-02 12:00,2020-09-04 08:00,-2.7397789417,Q3_mid,0.9561741186,11406.0200000000,11406.0100000000,10422.1700000000,9960.8000000000,11470.6500000000,-0.0000876730,-9.0206018193,-9.0205141463,-13.5483019809,0.5651189643
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-03 12:00,2020-09-03 16:00,2020-09-05 12:00,-4.9167286704,Q5_high,1.4731534009,10670.2800000000,10670.2800000000,10273.8900000000,9875.5000000000,10794.6200000000,0.0000000000,-3.7856581419,-3.7856581419,-7.7405364352,1.1585555096
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-03 20:00,2020-09-04 00:00,2020-09-05 20:00,-5.2052853397,Q5_high,1.7867970204,10140.8500000000,10138.2900000000,10166.6900000000,9825.0000000000,10627.0500000000,-0.0252476191,0.2544868945,0.2797345136,-3.1389187133,4.7083292488
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-05 16:00,2020-09-05 20:00,2020-09-07 16:00,-3.1364051358,Q5_high,1.8587423575,9956.6600000000,9956.6600000000,10148.4700000000,9875.0000000000,10347.1400000000,0.0000000000,1.9081281218,1.9081281218,-0.8235363204,3.8468479032
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-08 08:00,2020-09-08 12:00,2020-09-10 08:00,-2.7808695428,Q4_higher,1.3573596435,9982.9900000000,9981.7400000000,10292.6200000000,9850.0000000000,10418.0000000000,-0.0125220827,3.0544488918,3.0669709745,-1.3285968640,4.2777655499
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-13 08:00,2020-09-13 12:00,2020-09-15 08:00,-2.0835404906,Q3_mid,0.8473835758,10324.8900000000,10324.8800000000,10821.1500000000,10200.0000000000,10882.0000000000,-0.0000968534,4.6945067391,4.6946035925,-1.2168796213,5.2553531560
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-21 08:00,2020-09-21 12:00,2020-09-23 08:00,-2.4710796525,Q3_mid,0.9160338017,10636.4700000000,10636.4600000000,10474.4500000000,10296.3500000000,10638.1000000000,-0.0000940162,-1.5349703486,-1.5348763324,-3.2498258287,0.0154174752
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,2020-09-21 12:00,2020-09-21 16:00,2020-09-23 12:00,-2.0680634625,Q3_mid,1.0064831400,10418.7600000000,10418.7700000000,10453.2000000000,10353.0000000000,10572.7100000000,0.0000959807,0.3300124306,0.3299164500,-0.6332654347,1.4667165888
